Row_Index,Actual_Types,LLM_Prediction,LLM_Exact_Match,LLM_Any_Match,SLM_Prediction,SLM_Exact_Match,SLM_Any_Match,FineTuned_SLM_Prediction,FineTuned_SLM_Exact_Match,FineTuned_SLM_Any_Match
0,['test'],"['fix', 'test']",False,True,"['test', 'fix']",False,True,['fix'],False,False
1,['refactor'],"['feat', 'test']",False,False,"['feat', 'test']",False,False,['refactor'],True,True
2,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
3,['feat'],['feat'],True,True,['feat'],True,True,['feat'],True,True
4,['build'],['build'],True,True,['build'],True,True,['build'],True,True
5,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
6,['fix'],"['fix', 'test']",False,True,"['fix', 'test']",False,True,['fix'],True,True
7,['ci'],"['ci', 'fix']",False,True,"['ci', 'build']",False,True,['ci'],True,True
8,['build'],['build'],True,True,['build'],True,True,['build'],True,True
9,['refactor'],"['fix', 'refactor', 'build']",False,True,"['feat', 'fix', 'refactor', 'docs', 'test', 'ci', 'build']",False,True,['feat'],False,False
10,['feat'],"['feat', 'test']",False,True,"['feat', 'test']",False,True,['feat'],True,True
11,['test'],['test'],True,True,['test'],True,True,['test'],True,True
12,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
13,['fix'],"['fix', 'refactor', 'docs']",False,True,['fix'],True,True,['fix'],True,True
14,['fix'],"['refactor', 'build']",False,False,['build'],False,False,['build'],False,False
15,['feat'],"['feat', 'refactor']",False,True,['feat'],True,True,['feat'],True,True
16,['build'],['build'],True,True,['build'],True,True,['build'],True,True
17,['ci'],['refactor'],False,False,"['ci', 'build', 'refactor']",False,True,['build'],False,False
18,['refactor'],['fix'],False,False,['fix'],False,False,['refactor'],True,True
19,['test'],['test'],True,True,['test'],True,True,['test'],True,True
20,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
21,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
22,['feat'],"['feat', 'docs', 'test']",False,True,"['feat', 'docs', 'test']",False,True,['feat'],True,True
23,['refactor'],['refactor'],True,True,['refactor'],True,True,['refactor'],True,True
24,['build'],['build'],True,True,['build'],True,True,['build'],True,True
25,['ci'],['build'],False,False,['build'],False,False,['build'],False,False
26,['test'],['test'],True,True,['test'],True,True,['test'],True,True
27,['fix'],['fix'],True,True,['fix'],True,True,['fix'],True,True
28,['fix'],"['fix', 'test']",False,True,"['fix', 'test']",False,True,['fix'],True,True
29,['test'],"['test', 'refactor']",False,True,['test'],True,True,['test'],True,True
30,['refactor'],['refactor'],True,True,['refactor'],True,True,['refactor'],True,True
31,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
32,['build'],['build'],True,True,['build'],True,True,['build'],True,True
33,['feat'],"['docs', 'feat']",False,True,['feat'],True,True,['feat'],True,True
34,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
35,['refactor'],"['refactor', 'test']",False,True,"['refactor', 'test']",False,True,['refactor'],True,True
36,['docs'],['ci'],False,False,['ci'],False,False,['docs'],True,True
37,['test'],['fix'],False,False,"['fix', 'test']",False,True,['build'],False,False
38,['build'],['build'],True,True,['build'],True,True,['build'],True,True
39,['fix'],['refactor'],False,False,['refactor'],False,False,['fix'],True,True
40,['feat'],"['test', 'feat']",False,True,"['feat', 'test']",False,True,['feat'],True,True
41,['ci'],"['ci', 'build']",False,True,"['ci', 'build']",False,True,['ci'],True,True
42,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
43,['feat'],['feat'],True,True,['feat'],True,True,['feat'],True,True
44,['refactor'],"['test', 'refactor']",False,True,['test'],False,False,['refactor'],True,True
45,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
46,['fix'],['refactor'],False,False,['refactor'],False,False,['refactor'],False,False
47,['test'],"['build', 'test']",False,True,"['build', 'test']",False,True,['test'],True,True
48,['build'],['build'],True,True,['build'],True,True,['build'],True,True
49,['refactor'],['refactor'],True,True,['refactor'],True,True,['refactor'],True,True
50,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
51,['build'],['ci'],False,False,['ci'],False,False,['ci'],False,False
52,['feat'],['feat'],True,True,['feat'],True,True,['feat'],True,True
53,['test'],['test'],True,True,['test'],True,True,['test'],True,True
54,['ci'],"['ci', 'feat']",False,True,"['ci', 'build']",False,True,['build'],False,False
55,['fix'],['fix'],True,True,['fix'],True,True,['fix'],True,True
56,['fix'],['fix'],True,True,['fix'],True,True,['fix'],True,True
57,['refactor'],['refactor'],True,True,['refactor'],True,True,['refactor'],True,True
58,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
59,['test'],['test'],True,True,['test'],True,True,['test'],True,True
60,['ci'],"['ci', 'feat']",False,True,['ci'],True,True,['ci'],True,True
61,['feat'],"['feat', 'refactor', 'docs']",False,True,['feat'],True,True,['feat'],True,True
62,['build'],['build'],True,True,"['build', 'refactor']",False,True,['build'],True,True
63,['feat'],"['feat', 'refactor']",False,True,['feat'],True,True,['feat'],True,True
64,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
65,['fix'],"['fix', 'test']",False,True,"['fix', 'test']",False,True,['fix'],True,True
66,['refactor'],['refactor'],True,True,['build'],False,False,['refactor'],True,True
67,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
68,['build'],"['docs', 'build']",False,True,"['docs', 'build']",False,True,['docs'],False,False
69,['test'],['test'],True,True,['test'],True,True,['test'],True,True
70,"['docs', 'refactor']","['docs', 'feat', 'test']",False,True,"['docs', 'fix', 'test']",False,True,"['docs', 'refactor']",True,True
71,"['build', 'test']","['docs', 'build', 'test']",False,True,"['docs', 'build', 'test']",False,True,"['docs', 'test']",False,True
72,"['feat', 'fix']","['feat', 'test', 'docs', 'fix']",False,True,"['feat', 'fix', 'test', 'docs']",False,True,"['feat', 'fix']",True,True
73,"['ci', 'docs']","['ci', 'docs']",True,True,"['ci', 'docs']",True,True,"['ci', 'docs']",True,True
74,"['ci', 'feat']","['ci', 'feat']",True,True,"['feat', 'ci']",True,True,"['ci', 'feat']",True,True
75,"['build', 'refactor']","['build', 'test']",False,True,"['build', 'test']",False,True,"['build', 'refactor']",True,True
76,"['fix', 'test']","['fix', 'test']",True,True,"['fix', 'test']",True,True,"['fix', 'test']",True,True
77,"['feat', 'refactor']","['test', 'feat', 'refactor']",False,True,"['feat', 'refactor', 'test']",False,True,"['feat', 'refactor']",True,True
78,"['build', 'docs']","['build', 'docs']",True,True,"['build', 'docs']",True,True,"['build', 'docs']",True,True
79,"['ci', 'fix']","['ci', 'fix']",True,True,"['ci', 'fix']",True,True,"['ci', 'fix']",True,True
80,"['fix', 'test']","['fix', 'test']",True,True,"['fix', 'test']",True,True,"['fix', 'test']",True,True
81,"['build', 'docs']","['build', 'docs']",True,True,"['build', 'docs']",True,True,"['build', 'docs']",True,True
82,"['feat', 'refactor']","['feat', 'refactor']",True,True,['feat'],False,True,"['feat', 'refactor']",True,True
83,"['ci', 'test']","['build', 'test']",False,True,"['build', 'test']",False,True,"['ci', 'test']",True,True
84,"['ci', 'refactor']","['ci', 'fix', 'refactor']",False,True,"['ci', 'build', 'refactor']",False,True,"['ci', 'docs', 'refactor']",False,True
85,"['docs', 'feat']","['refactor', 'docs', 'test', 'feat']",False,True,"['refactor', 'test', 'docs', 'feat']",False,True,"['refactor', 'test']",False,False
86,"['build', 'test']","['build', 'test']",True,True,"['build', 'test']",True,True,"['build', 'test']",True,True
87,"['ci', 'fix']","['build', 'fix', 'test']",False,True,"['ci', 'fix', 'test']",False,True,"['build', 'fix']",False,True
88,"['feat', 'test']","['fix', 'feat', 'test']",False,True,"['feat', 'fix', 'refactor', 'docs', 'test', 'ci', 'build']",False,True,"['feat', 'fix', 'test']",False,True
89,"['docs', 'refactor']","['docs', 'fix']",False,True,"['docs', 'fix']",False,True,"['docs', 'refactor']",True,True
90,"['build', 'fix']","['build', 'fix']",True,True,"['build', 'fix']",True,True,"['build', 'fix']",True,True
