predicted_types,actual_types,inference_time,shas
"['docs', 'refactor']","['refactor', 'docs']",1.3120880126953125,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['feat', 'fix']","['fix', 'feat']",0.5903177261352539,"['ab1e60a97c6d5c688dacbd23bca40cb8f20c4ac3', 'f823cf28652987d43c8324b4f5b203240032383a']"
"['refactor', 'test']",['test'],0.9017608165740967,['11ffd5174bd61a2939ae58d2b2d43284302ae490']
"['cicd', 'test', 'refactor']","['build', 'refactor']",1.0403399467468262,"['e0a977b2d316e7612b5d72cb02cd7d78e75dbc55', '0d23f1b3ed22e615b9611bb4eae01d2241e64dff']"
"['docs', 'test']","['docs', 'test']",6.406385183334351,"['9ed3c0c4a72af977fc9150512fb6538f20a94b22', 'f87659953e9af59bc7cb314a22dd076d988ef607']"
['test'],['test'],1.4436140060424805,['7ece3a9a16780dc6c633bbd903d36ce0aefd6a8a']
"['docs', 'build', 'test']","['docs', 'build', 'test']",0.8405361175537109,"['363f84c7da411468b4103da8e0b39ca48cfd8327', '1269431c8a3e7549f10fcbbb4b88ff625c8898b3', '48d5d573886e9fdd0cca1cea47112c4a2f6edf52']"
"['feat', 'cicd', 'fix']","['refactor', 'cicd', 'fix']",1.2481658458709717,"['f1bc5a554af4e617c7d7508f7f16f8fd25c78c91', 'e96487ad7ce90b141219d9032fa2bed68d5dae6a', 'c5904a9004fca1e438168ca7334a0deefab536ff']"
"['docs', 'cicd']","['docs', 'cicd']",1.0453879833221436,"['f2f52c23b513dd857350f3c163f676d37189d0d3', '2ac99c0a66a1adc18ee4ef660608f814823dd198']"
['build'],['build'],0.6394548416137695,['9ab4c61975e073e214646443d088339cfdbaa88d']
['refactor'],"['test', 'fix']",0.64247727394104,"['c5e86dbc00a13a355bffadeb2db197e2fea5640f', '07452180fee89e98f05e1aeca68f9923d4c7ab63']"
"['build', 'fix']","['build', 'fix']",2.0235328674316406,"['607ecc92b5f8c084304e406eec725b7dcfa0a562', '7dc3b70fe40fc7de255a28bb3098bcb8c0d35365']"
"['refactor', 'build', 'feat']","['refactor', 'build', 'feat']",1.0474348068237305,"['3346331a963766c8193170fb130adad2e658ada2', 'bfe32bf10e9b6d699f694fbd095af0b3f2e6275f', 'd8d0ba8ea17ed43a04f90213851d2f27056d8cf0']"
"['docs', 'cicd', 'feat']","['docs', 'build', 'refactor']",1.402207851409912,"['cab2cf4d3fffb0ec2b56d455e67ac5fa992b4104', '2236b37bd671fdb71313cbc6ebd7633f0effba34', 'd7972da833257c073403dec3c2ac3a7f297e328a']"
"['build', 'test']","['build', 'feat', 'test']",1.041996955871582,"['bb3e3d9b96e435c3b92fc208bca93d1ad7e1ad50', '6f4c06076abff94f8bb5c634beaba55483a78b72', '6c7398993bc567ec84e4573b6ededbf50b1ef606']"
"['docs', 'refactor']","['feat', 'refactor', 'docs']",0.8739581108093262,"['9114362b39f5194209cd0b330af7076333f3db77', 'ee4bf61fb8836e249fb4ef3507dc938e70696b3f', '12257ce53f94dc902df4ba087de90f52d2840ad4']"
