predicted_types,actual_types,inference_time,shas
"['refactor', 'docs']","['refactor', 'docs']",37.63593912124634,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['refactor', 'feat']","['fix', 'feat']",5.746784925460815,"['ab1e60a97c6d5c688dacbd23bca40cb8f20c4ac3', 'f823cf28652987d43c8324b4f5b203240032383a']"
"['test', 'refactor']",['test'],41.160895109176636,['11ffd5174bd61a2939ae58d2b2d43284302ae490']
"['build', 'refactor']","['build', 'refactor']",17.7880220413208,"['e0a977b2d316e7612b5d72cb02cd7d78e75dbc55', '0d23f1b3ed22e615b9611bb4eae01d2241e64dff']"
"['fix', 'refactor', 'docs']","['docs', 'test']",17.248931169509888,"['9ed3c0c4a72af977fc9150512fb6538f20a94b22', 'f87659953e9af59bc7cb314a22dd076d988ef607']"
['refactor'],['test'],9.455981969833374,['7ece3a9a16780dc6c633bbd903d36ce0aefd6a8a']
"['test', 'build', 'docs']","['docs', 'build', 'test']",20.5688419342041,"['363f84c7da411468b4103da8e0b39ca48cfd8327', '1269431c8a3e7549f10fcbbb4b88ff625c8898b3', '48d5d573886e9fdd0cca1cea47112c4a2f6edf52']"
"['refactor', 'cicd']","['refactor', 'cicd', 'fix']",9.456253290176392,"['f1bc5a554af4e617c7d7508f7f16f8fd25c78c91', 'e96487ad7ce90b141219d9032fa2bed68d5dae6a', 'c5904a9004fca1e438168ca7334a0deefab536ff']"
"['docs', 'cicd']","['docs', 'cicd']",2.7513768672943115,"['f2f52c23b513dd857350f3c163f676d37189d0d3', '2ac99c0a66a1adc18ee4ef660608f814823dd198']"
['build'],['build'],1.6807100772857666,['9ab4c61975e073e214646443d088339cfdbaa88d']
"['test', 'refactor']","['test', 'fix']",9.954972982406616,"['c5e86dbc00a13a355bffadeb2db197e2fea5640f', '07452180fee89e98f05e1aeca68f9923d4c7ab63']"
"['refactor', 'build']","['build', 'fix']",6.721197843551636,"['607ecc92b5f8c084304e406eec725b7dcfa0a562', '7dc3b70fe40fc7de255a28bb3098bcb8c0d35365']"
"['refactor', 'build', 'test']","['refactor', 'build', 'feat']",14.370007038116455,"['3346331a963766c8193170fb130adad2e658ada2', 'bfe32bf10e9b6d699f694fbd095af0b3f2e6275f', 'd8d0ba8ea17ed43a04f90213851d2f27056d8cf0']"
"['docs', 'cicd', 'refactor']","['docs', 'build', 'refactor']",5.899152040481567,"['cab2cf4d3fffb0ec2b56d455e67ac5fa992b4104', '2236b37bd671fdb71313cbc6ebd7633f0effba34', 'd7972da833257c073403dec3c2ac3a7f297e328a']"
"['build', 'test', 'feat']","['build', 'feat', 'test']",11.727962970733643,"['bb3e3d9b96e435c3b92fc208bca93d1ad7e1ad50', '6f4c06076abff94f8bb5c634beaba55483a78b72', '6c7398993bc567ec84e4573b6ededbf50b1ef606']"
"['feat', 'refactor', 'docs', 'cicd']","['feat', 'refactor', 'docs']",24.465667724609375,"['9114362b39f5194209cd0b330af7076333f3db77', 'ee4bf61fb8836e249fb4ef3507dc938e70696b3f', '12257ce53f94dc902df4ba087de90f52d2840ad4']"
"['cicd', 'build']","['cicd', 'fix']",2.763355016708374,"['6132632f7517195c7333308e9c667cdb756bf0af', 'c623b3622058b913290120b06ccdc779a4e4413d']"
"['fix', 'refactor', 'cicd', 'docs']","['build', 'fix', 'docs']",8.122817993164062,"['88129ee45b1d49bc4ff887f3b488464cc7097e29', '61eaa2d0cca9bd27d6c5f0a8f9b34200b77fdbb0', '9ed3c0c4a72af977fc9150512fb6538f20a94b22']"
"['feat', 'cicd', 'build']","['feat', 'cicd', 'build']",11.211551904678345,"['fd8e563cc19ca4684885d4692acee6bebcca4ada', 'e82254c4ca73fe55834f005f08bc2a060496f815', '9ab4c61975e073e214646443d088339cfdbaa88d']"
"['fix', 'build']","['build', 'feat']",9.695632934570312,"['c323d59c607cabc91f17a78528d998f376f30b10', 'd8d0ba8ea17ed43a04f90213851d2f27056d8cf0']"
"['refactor', 'docs']","['refactor', 'fix', 'docs']",24.807058334350586,"['2954a0955ce9af6acb345ed1e8328e145ad30475', '6889543bec720e7e7da66535e1012cb66edfe081', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['refactor', 'docs']","['refactor', 'docs']",7.366506814956665,"['cd7e8c3d3549ea05115b3f02586eeba894d86906', 'e0177c25e13812306aab0b0991562d58b6d14767']"
"['refactor', 'build']","['test', 'refactor']",4.52894401550293,"['672cd2b9775fb6dac2d522cb3f4469db47c0556b', '36556bf8e0bce4ab6d26eafacbdad04d9614a5d7']"
"['fix', 'refactor', 'docs']","['fix', 'docs']",5.484706163406372,"['174f25214caa10ec643db6c81aaa0f3511bf78f4', '04e70ce964b343e28b3dbd0c46d10ccda958ab8c']"
"['refactor', 'test']","['refactor', 'fix', 'test']",8.005778074264526,"['a62314d9bb632be6af026686615d14b912250512', '5636313d7c9cfbd9f48578fd104771d65eae9720', '98bed2a8137930149559bc1cae9bd34a1a75e556']"
['refactor'],['fix'],1.9590561389923096,['c4d9e5023fa0f88ba283b37da27677ceda1cbfbb']
['refactor'],['refactor'],3.6307201385498047,['a50b51999015e210918d9c8e95fd4cac347353be']
"['fix', 'docs']","['refactor', 'docs']",7.428909063339233,"['7dbbb64c45506ef634180638db800b6d9535523d', '9ed3c0c4a72af977fc9150512fb6538f20a94b22']"
"['refactor', 'test', 'build']","['fix', 'refactor', 'build']",8.472731113433838,"['c6403b62f8dc0e5bfe25a1c6306fb7040ca447ae', '63eab619e6166eb6cab948028a7b89bf059dd878', 'c55591ba157298a9c5816693c102a89dfd058830']"
['fix'],['fix'],1.7230291366577148,['a280a52c8309465276c3509848ddcddbe19732b6']
"['refactor', 'test']","['test', 'docs']",4.013807058334351,"['f411e58cd510f8a2b980b2f1932003a0c0e9f8f3', 'cccdd8a43fea7614f78b6f1dcf1765100928a3db']"
"['cicd', 'refactor']",['cicd'],2.515124797821045,['7152173d26293f4638920b17ce2dfa8ae995193b']
"['refactor', 'docs']","['refactor', 'docs']",9.238121032714844,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', '3ee672483790ec71c700907a6e93af4698492026']"
"['feat', 'refactor']",['feat'],3.079970121383667,['4197f2654e8767039dbfd66eca34f261ee3d88c8']
"['refactor', 'cicd']","['cicd', 'test']",8.479266881942749,"['f751bb5426b87f82096d620f1cd6203badf45d58', '19feaea1885eb015759b5c7a5d785521f2b8a212']"
"['refactor', 'test', 'docs']","['fix', 'test', 'docs']",25.802008867263794,"['9474f58b44a35321e9157ca9890c589a7b3729b2', '47df74d40becf915a9d89cdb887abd259b77def0', 'cb1f48b56ae0de93acb72e48726c7d610a1d538e']"
"['test', 'refactor', 'cicd']","['test', 'refactor', 'cicd']",23.139667987823486,"['48d5d573886e9fdd0cca1cea47112c4a2f6edf52', 'bb2ccc1a778452aebf233cf78b20f1f4bab4354b', 'c5fa7b80438fbd74f4c341f0d3c9bd9e0f4910da']"
"['feat', 'refactor', 'build', 'cicd']","['build', 'docs', 'cicd']",8.820780038833618,"['4ab28fc2e63e975a0c77e18ae644f34fa5f8771a', 'af880ac5b4fecbc6c4f3d1eee0d95f326e8bd9d1', '74e9de5ec97dc013a52aa063dff0f40ac74c407b']"
"['refactor', 'build']","['test', 'fix', 'build']",10.106981992721558,"['7d3e9b3a98b02f6cb1f3444dc7e3a0459aeb26a7', '974e033a3ca7484290a04201ee33856a25da0942', 'ca060bf255a55b99000ddf0c67f7422f28b735a6']"
"['feat', 'build']","['build', 'fix', 'feat']",13.06972074508667,"['fab09655d5cc30727289cc3f26e5396fce235cd3', 'bed78248c941d57ad4cc20a455147e186e97c7a1', '6b473cbdc5997af47c56a2a74f5b64da6d4c2ad7']"
"['fix', 'refactor']",['fix'],3.9304349422454834,['bed78248c941d57ad4cc20a455147e186e97c7a1']
"['fix', 'build']","['build', 'docs']",8.109409093856812,"['a827777f41e90b6332c191d05bae8db525de6f38', 'f2f52c23b513dd857350f3c163f676d37189d0d3']"
"['feat', 'docs']",['docs'],2.089839220046997,['94202f01e44c58bee4419044f8a18ac5f1a50dff']
"['fix', 'refactor', 'build']","['fix', 'feat', 'build']",12.82046914100647,"['9be725fa3906323d4bc9788f54eccf74109d632b', 'bea32587586ca08f390c901a95e9b9c25263f4df', '4ab28fc2e63e975a0c77e18ae644f34fa5f8771a']"
"['feat', 'test', 'cicd', 'docs']","['docs', 'cicd', 'test']",27.406155109405518,"['16d4ace80096557fb3fd48396aa09107241c3131', 'f8c7b34bdeedcf1a4628cd50b23920afeaf57cb6', '11ffd5174bd61a2939ae58d2b2d43284302ae490']"
"['refactor', 'docs']","['docs', 'fix']",32.166913986206055,"['eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6', 'cbce777addb3dd118232a9f28db9d425d4c937b2']"
"['fix', 'feat']","['fix', 'feat']",4.235459089279175,"['7dc3b70fe40fc7de255a28bb3098bcb8c0d35365', '6ae067153cd2608018fd3da76bd6d00a08da4b3a']"
"['refactor', 'fix']","['refactor', 'fix']",7.17066502571106,"['f86944ff00b970d7e2da48abbff43e58bdf29b99', '2561f4ade46fc9d59f289f328cc77733a6443697']"
"['fix', 'docs', 'test']","['docs', 'test']",3.726422071456909,"['88257ee720ed8ba136d49087c0d31373e8397dd5', 'e2e8ad25854bd1e7cdbc7f50b50bbd99e04ad47d']"
"['feat', 'refactor', 'test']","['build', 'test', 'refactor']",10.423353910446167,"['4ab28fc2e63e975a0c77e18ae644f34fa5f8771a', '6c7398993bc567ec84e4573b6ededbf50b1ef606', 'bb2ccc1a778452aebf233cf78b20f1f4bab4354b']"
"['docs', 'test', 'cicd']","['docs', 'test', 'cicd']",26.60015296936035,"['cb1f48b56ae0de93acb72e48726c7d610a1d538e', 'b7ce2894fd1794064bd6db4ed730bb6cb7728739', '83934807f4061980e7f5bf46d36eca70e238835d']"
['cicd'],['build'],2.5571179389953613,['88129ee45b1d49bc4ff887f3b488464cc7097e29']
"['fix', 'refactor']","['feat', 'fix']",17.15823268890381,"['1a60540f2bcda48d33f015e31f3728ac2c59a159', 'c623b3622058b913290120b06ccdc779a4e4413d']"
"['refactor', 'cicd']","['refactor', 'fix', 'build']",10.808274984359741,"['d2709cab63295109dcd1a49f57da9418110e9044', 'c4d9e5023fa0f88ba283b37da27677ceda1cbfbb', '2236b37bd671fdb71313cbc6ebd7633f0effba34']"
"['refactor', 'build', 'test']","['fix', 'build', 'test']",21.098515033721924,"['e9233ae3f7811707945fc2de60971595d83c578d', 'e4a11fd5c34942ba12737f1c8c084489428ee274', 'e2e8ad25854bd1e7cdbc7f50b50bbd99e04ad47d']"
"['refactor', 'build']","['cicd', 'build']",5.4395997524261475,"['45837af24a33308a70a3454f0f650f9fe728e272', '411be831591b2ea15ca9138eaf8db81f51b5101e']"
"['docs', 'refactor', 'test', 'build']","['docs', 'test', 'build']",6.473193168640137,"['c2ee5cd5e709afd15c5565ee009a0d204403a119', 'e2e8ad25854bd1e7cdbc7f50b50bbd99e04ad47d', 'c55591ba157298a9c5816693c102a89dfd058830']"
"['refactor', 'build', 'cicd']","['docs', 'build', 'cicd']",15.145687103271484,"['f2f52c23b513dd857350f3c163f676d37189d0d3', 'af53b9487f74ff28438928903fb1f2db93fe4fa8', 'e11d55a4922978b89a2c50bf577124b09449e89c']"
"['test', 'docs']",['test'],3.8522610664367676,['6c7398993bc567ec84e4573b6ededbf50b1ef606']
['refactor'],['refactor'],27.335278272628784,['3cca5c314ad6feeffbfe1f14cf49ebd0fd9a95a2']
"['refactor', 'fix']","['test', 'fix', 'refactor']",6.013345003128052,"['cd9e6a2ab17c5961b0f977bb8a06f8545da49a97', '1e05a24486f15889ddf6bf1c711ea2bbffc1a88e', '4bfbf60653068ef17df98c021134692bd6d02939']"
"['feat', 'test']","['build', 'test']",3.7387750148773193,"['66f907f2d6ff0956bb5215518678bc79cab83c17', '7e1ece7d3fd41d1e3ee38e479c119494bb269966']"
"['test', 'build']","['test', 'build', 'cicd']",14.122060060501099,"['bed86aeae8dad2dd6371635cd24bf8ef3db80361', 'ecc481f9f501aa34b41e06e7bbdde6e79f8ca1bb', 'c3531347fe5a4cc82d426db195026a5bdad15e7a']"
